Numero Ocorrencia,Data,,,Hora,Uf,,Br,Km,Latitude,Longitude,Natureza Enquadramento,,,Municipio,Envolvimento,Qtd Assalto a Caminhão,Qtde Envolvido,Qtde Veiculo
C1071224170114081600,14/1/2017,"Sábado, 14 de Janeiro de 2017",2017-01-14,8,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,FLORES DE GOIAS,Vítima,1,1,3
C1071239170210093000,10/2/2017,"Sexta-feira, 10 de Fevereiro de 2017",2017-02-10,7,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,AQUIDABA,Vítima,1,1,2
C1071850170502211000,2/5/2017,"Terça-feira, 2 de Maio de 2017",2017-05-02,20,SC,SANTA CATARINA,101 ,355,-28.620499,-49.073999,461,ROUBO A CAMINHÃO,ROUBO,JAGUARUNA,Vítima,1,1,0
C1072960170316184800,15/3/2017,"Quarta-feira, 15 de Março de 2017",2017-03-15,16,SP,SÃO PAULO,381 ,41,-23.147299,-46.574699,461,ROUBO A CAMINHÃO,ROUBO,ATIBAIA,Autor,1,1,1
C1072960170316184800,15/3/2017,"Quarta-feira, 15 de Março de 2017",2017-03-15,16,SP,SÃO PAULO,381 ,41,-23.147299,-46.574699,461,ROUBO A CAMINHÃO,ROUBO,ATIBAIA,Vítima,1,1,1
C1072960170404234900,4/4/2017,"Terça-feira, 4 de Abril de 2017",2017-04-04,20,SP,SÃO PAULO,381 ,30,-23.047799,-46.563599,461,ROUBO A CAMINHÃO,ROUBO,ATIBAIA,Vítima,1,1,4
C1073359170221124200,21/2/2017,"Terça-feira, 21 de Fevereiro de 2017",2017-02-21,2,SP,SÃO PAULO,116 ,509,-24.830499,-48.209499,461,ROUBO A CAMINHÃO,ROUBO,CAJATI,Vítima,1,1,1
C1073467170325204700,25/3/2017,"Sábado, 25 de Março de 2017",2017-03-25,13,MG,MINAS GERAIS,116 ,2,-15.717799,-41.340699,461,ROUBO A CAMINHÃO,ROUBO,DIVISA ALEGRE,Vítima,1,1,1
C1073671170209090200,9/2/2017,"Quinta-feira, 9 de Fevereiro de 2017",2017-02-09,9,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,RIO LARGO,Vítima,1,1,1
C1073764170402120000,2/4/2017,"Domingo, 2 de Abril de 2017",2017-04-02,3,PE,PERNAMBUCO,232 ,433,-8.002999,-38.470199,461,ROUBO A CAMINHÃO,ROUBO,SERRA TALHADA,Vítima,1,3,3
C1073764170426071500,26/4/2017,"Quarta-feira, 26 de Abril de 2017",2017-04-26,3,PE,PERNAMBUCO,232 ,433,-8.002999,-38.470199,461,ROUBO A CAMINHÃO,ROUBO,SERRA TALHADA,Vítima,1,1,1
C1074025170512142900,12/5/2017,"Sexta-feira, 12 de Maio de 2017",2017-05-12,14,GO,GOIÁS,153 ,522,-16.893699,-49.255699,461,ROUBO A CAMINHÃO,ROUBO,HIDROLANDIA,Vítima,1,1,1
C1074263170505071900,5/5/2017,"Sexta-feira, 5 de Maio de 2017",2017-05-05,7,RS,RIO GRANDE DO SUL,101 ,33,-29.505999,-49.983499,461,ROUBO A CAMINHÃO,ROUBO,TRES CACHOEIRAS,Vítima,1,1,1
C1078138170505090000,5/5/2017,"Sexta-feira, 5 de Maio de 2017",2017-05-05,8,PR,PARANÁ,476 ,164,-25.636099,-49.465799,461,ROUBO A CAMINHÃO,ROUBO,ARAUCARIA,Testemunha,1,1,3
C1078138170505090000,5/5/2017,"Sexta-feira, 5 de Maio de 2017",2017-05-05,8,PR,PARANÁ,476 ,164,-25.636099,-49.465799,461,ROUBO A CAMINHÃO,ROUBO,ARAUCARIA,Vítima,1,4,3
